Scan do Pawn: 0x16719AAB0 em 2025-05-30 16:25:40

Offset	Tipo	Valor
0x0378	Float	-0.10871406644582748
0x0378	Byte	123
0x0380	Int32	0
0x0380	Float	0.0
0x0380	Byte	0
0x0388	Int32	0
0x0388	Float	0.0
0x0388	Byte	0
0x0390	Int32	0
0x0390	Float	0.0
0x0390	Byte	0
0x0398	Int32	0
0x0398	Float	0.0
0x0398	Byte	0
0x03A0	Int32	0
0x03A0	Float	0.0
0x03A0	Byte	0
0x03A8	Int32	0
0x03A8	Float	0.0
0x03A8	Byte	0
0x03B0	Int32	0
0x03B0	Float	0.0
0x03B0	Byte	0
0x03B8	Int32	0
0x03B8	Float	0.0
0x03B8	Byte	0
0x03C0	Int32	0
0x03C0	Float	0.0
0x03C0	Byte	0
0x03C8	Int32	0
0x03C8	Float	0.0
0x03C8	Byte	0
0x03D0	Int32	0
0x03D0	Float	0.0
0x03D0	Byte	0
0x03D8	Int32	0
0x03D8	Float	0.0
0x03D8	Byte	0
0x03E0	Int32	0
0x03E0	Float	0.0
0x03E0	Byte	0
0x03E8	Int32	0
0x03E8	Float	0.0
0x03E8	Byte	0
0x03F0	Byte	204
0x03F8	Byte	206
0x0400	Int32	0
0x0400	Float	0.0
0x0400	Byte	0
0x0408	Int32	0
0x0408	Float	0.0
0x0408	Byte	0
0x0410	Int32	0
0x0410	Float	0.0
0x0410	Byte	0
0x0418	Int32	0
0x0418	Float	0.0
0x0418	Byte	0
0x0420	Int32	0
0x0420	Float	0.0
0x0420	Byte	0
0x0428	Int32	0
0x0428	Float	0.0
0x0428	Byte	0
0x0430	Int32	0
0x0430	Float	0.0
0x0430	Byte	0
0x0438	Int32	0
0x0438	Float	0.0
0x0438	Byte	0
0x0440	Int32	0
0x0440	Float	0.0
0x0440	Byte	0
0x0448	Float	1.0
0x0448	Byte	0
0x0450	Int32	512
0x0450	Float	7.174648137343064e-43
0x0450	Byte	0
0x0458	Int32	0
0x0458	Float	0.0
0x0458	Byte	0
0x0460	Ptr	0x100000000
0x0460	Int32	0
0x0460	Float	0.0
0x0460	Byte	0
0x0468	Int32	0
0x0468	Float	0.0
0x0468	Byte	0
0x0470	Int32	0
0x0470	Float	0.0
0x0470	Byte	0
0x0478	Int32	0
0x0478	Float	0.0
0x0478	Byte	0
0x0480	Int32	0
0x0480	Float	0.0
0x0480	Byte	0
0x0488	Int32	0
0x0488	Float	0.0
0x0488	Byte	0
0x0490	Int32	0
0x0490	Float	0.0
0x0490	Byte	0
0x0498	Int32	0
0x0498	Float	0.0
0x0498	Byte	0
0x04A0	Int32	0
0x04A0	Float	0.0
0x04A0	Byte	0
0x04A8	Int32	0
0x04A8	Float	0.0
0x04A8	Byte	0
0x04B0	Int32	0
0x04B0	Float	0.0
0x04B0	Byte	0
0x04B8	Ptr	0x147EB1378
0x04B8	Float	120358.9375
0x04B8	Byte	120
0x04C0	Int32	0
0x04C0	Float	0.0
0x04C0	Byte	0
0x04C8	Int32	0
0x04C8	Float	0.0
0x04C8	Byte	0
0x04D0	Int32	0
0x04D0	Float	0.0
0x04D0	Byte	0
0x04D8	Int32	0
0x04D8	Float	0.0
0x04D8	Byte	0
0x04E0	Int32	0
0x04E0	Float	0.0
0x04E0	Byte	0
0x04E8	Int32	0
0x04E8	Float	0.0
0x04E8	Byte	0
0x04F0	Int32	0
0x04F0	Float	0.0
0x04F0	Byte	0
0x04F8	Int32	0
0x04F8	Float	0.0
0x04F8	Byte	0
0x0500	Int32	0
0x0500	Float	0.0
0x0500	Byte	0
0x0508	Int32	0
0x0508	Float	0.0
0x0508	Byte	0
0x0510	Int32	0
0x0510	Float	0.0
0x0510	Byte	0
0x0518	Int32	0
0x0518	Float	0.0
0x0518	Byte	0
0x0520	Int32	0
0x0520	Float	0.0
0x0520	Byte	0
0x0528	Int32	0
0x0528	Float	0.0
0x0528	Byte	0
0x0530	Int32	0
0x0530	Float	0.0
0x0530	Byte	0
0x0538	Int32	0
0x0538	Float	0.0
0x0538	Byte	0
0x0540	Int32	0
0x0540	Float	0.0
0x0540	Byte	0
0x0548	Int32	0
0x0548	Float	0.0
0x0548	Byte	0
0x0550	Int32	0
0x0550	Float	0.0
0x0550	Byte	0
0x0558	Int32	0
0x0558	Float	0.0
0x0558	Byte	0
0x0560	Int32	0
0x0560	Float	0.0
0x0560	Byte	0
0x0568	Int32	0
0x0568	Float	0.0
0x0568	Byte	0
0x0570	Int32	0
0x0570	Float	0.0
0x0570	Byte	0
0x0578	Int32	0
0x0578	Float	0.0
0x0578	Byte	0
0x0580	Int32	0
0x0580	Float	0.0
0x0580	Byte	0
0x0588	Int32	0
0x0588	Float	0.0
0x0588	Byte	0
0x0590	Int32	0
0x0590	Float	0.0
0x0590	Byte	0
0x0598	Int32	0
0x0598	Float	0.0
0x0598	Byte	0
0x05A0	Int32	0
0x05A0	Float	0.0
0x05A0	Byte	0
0x05A8	Int32	0
0x05A8	Float	0.0
0x05A8	Byte	0
0x05B0	Int32	0
0x05B0	Float	0.0
0x05B0	Byte	0
0x05B8	Int32	0
0x05B8	Float	0.0
0x05B8	Byte	0
0x05C0	Int32	0
0x05C0	Float	0.0
0x05C0	Byte	0
0x05C8	Int32	0
0x05C8	Float	0.0
0x05C8	Byte	0
0x05D0	Ptr	0x147EB1378
0x05D0	Float	120358.9375
0x05D0	Byte	120
0x05D8	Int32	0
0x05D8	Float	0.0
0x05D8	Byte	0
0x05E0	Int32	0
0x05E0	Float	0.0
0x05E0	Byte	0
0x05E8	Int32	0
0x05E8	Float	0.0
0x05E8	Byte	0
0x05F0	Int32	0
0x05F0	Float	0.0
0x05F0	Byte	0
0x05F8	Int32	0
0x05F8	Float	0.0
0x05F8	Byte	0
0x0600	Int32	0
0x0600	Float	0.0
0x0600	Byte	0
0x0608	Int32	0
0x0608	Float	0.0
0x0608	Byte	0
0x0610	Int32	0
0x0610	Float	0.0
0x0610	Byte	0
0x0618	Int32	0
0x0618	Float	0.0
0x0618	Byte	0
0x0620	Int32	0
0x0620	Float	0.0
0x0620	Byte	0
0x0628	Int32	0
0x0628	Float	0.0
0x0628	Byte	0
0x0630	Int32	0
0x0630	Float	0.0
0x0630	Byte	0
0x0638	Int32	0
0x0638	Float	0.0
0x0638	Byte	0
0x0640	Int32	0
0x0640	Float	0.0
0x0640	Byte	0
0x0648	Ptr	0x1484387E8
0x0648	Float	200223.625
0x0648	Byte	232
0x0650	Int32	0
0x0650	Float	0.0
0x0650	Byte	0
0x0658	Int32	0
0x0658	Float	0.0
0x0658	Byte	0
0x0660	Int32	0
0x0660	Float	0.0
0x0660	Byte	0
0x0668	Float	8.107849274989142e-23
0x0668	Byte	40
0x0670	Int32	0
0x0670	Float	0.0
0x0670	Byte	0
0x0678	Ptr	0x3EA231FB
0x0678	Float	0.31678757071495056
0x0678	Byte	251
0x0680	Float	400.0
0x0680	Byte	0
