=== SCAN ESTENDIDO DE ISGHOST NO PAWN: 0x37CF2230 ===
Data/Hora: 2025-05-30 17:34:40
Offset atual de isGhost: 0x688

Valor atual de isGhost: False

=== ESCANEANDO POSSÍVEIS VALORES BOOLEANOS ===
Offset	Byte	Bool	Int8	Int16	Int32
0x06CC	0	False	0	0	0
0x06CD	0	False	0	0	-1660944384
0x06CE	0	False	0	0	1134362624
0x06CF	0	False	0	-25344	4431104
0x06D2	0	False	0	0	0
0x06D3	0	False	0	0	0
0x06D4	0	False	0	0	0
0x06D5	0	False	0	0	0
0x06D6	0	False	0	0	0
0x06D7	0	False	0	0	872415232
0x06D8	0	False	0	0	1127481344
0x06D9	0	False	0	13312	4404224
0x06DC	0	False	0	0	1056964608
0x06DD	0	False	0	0	4128768
0x06DE	0	False	0	16128	16128
0x06E0	0	False	0	0	0
0x06E1	0	False	0	0	0
0x06E2	0	False	0	0	0
0x06E3	0	False	0	0	0
0x06E4	0	False	0	0	0
0x06E5	0	False	0	0	0
0x06E6	0	False	0	0	16777216
0x06E7	0	False	0	0	65536
0x06E8	0	False	0	256	256
0x06E9	1	True	1	1	1
0x06EA	0	False	0	0	0
0x06EB	0	False	0	0	0
0x06EC	0	False	0	0	0
0x06ED	0	False	0	0	0
0x06EE	0	False	0	0	0
0x06EF	0	False	0	0	0
0x06F0	0	False	0	0	0
0x06F1	0	False	0	0	0
0x06F2	0	False	0	0	0
0x06F3	0	False	0	0	0
0x06F4	0	False	0	0	0
0x06F5	0	False	0	0	0
0x06F6	0	False	0	0	0
0x06F7	0	False	0	0	0
0x06F8	0	False	0	0	0
0x06F9	0	False	0	0	0
0x06FA	0	False	0	0	0
0x06FB	0	False	0	0	0
0x06FC	0	False	0	0	0
0x06FD	0	False	0	0	0
0x06FE	0	False	0	0	0
0x06FF	0	False	0	0	0
0x0700	0	False	0	0	0
0x0701	0	False	0	0	0
0x0702	0	False	0	0	0
0x0703	0	False	0	0	0
0x0704	0	False	0	0	0
0x0705	0	False	0	0	0
0x0706	0	False	0	0	0
0x0707	0	False	0	0	0
0x0708	0	False	0	0	0
0x0709	0	False	0	0	0
0x070A	0	False	0	0	0
0x070B	0	False	0	0	0
0x070C	0	False	0	0	0
0x070D	0	False	0	0	0
0x070E	0	False	0	0	0
0x070F	0	False	0	0	0
0x0710	0	False	0	0	0
0x0711	0	False	0	0	0
0x0712	0	False	0	0	0
0x0713	0	False	0	0	0
0x0714	0	False	0	0	0
0x0715	0	False	0	0	0
0x0716	0	False	0	0	0
0x0717	0	False	0	0	0
0x0718	0	False	0	0	0
0x0719	0	False	0	0	0
0x071A	0	False	0	0	0
0x071B	0	False	0	0	0
0x071C	0	False	0	0	0
0x071D	0	False	0	0	0
0x071E	0	False	0	0	0
0x071F	0	False	0	0	0
0x0720	0	False	0	0	0
0x0721	0	False	0	0	0
0x0722	0	False	0	0	0
0x0723	0	False	0	0	0
0x0724	0	False	0	0	0
0x0725	0	False	0	0	0
0x0726	0	False	0	0	0
0x0727	0	False	0	0	0
0x0728	0	False	0	0	0
0x0729	0	False	0	0	0
0x072A	0	False	0	0	0
0x072B	0	False	0	0	0
0x072C	0	False	0	0	0
0x072D	0	False	0	0	0
0x072E	0	False	0	0	0
0x072F	0	False	0	0	0
0x0730	0	False	0	0	0
0x0731	0	False	0	0	0
0x0732	0	False	0	0	0
0x0733	0	False	0	0	0
0x0734	0	False	0	0	0
0x0735	0	False	0	0	0
0x0736	0	False	0	0	0
0x0737	0	False	0	0	0
0x0738	0	False	0	0	0
0x0739	0	False	0	0	0
0x073A	0	False	0	0	0
0x073B	0	False	0	0	0
0x073C	0	False	0	0	0
0x073D	0	False	0	0	0
0x073E	0	False	0	0	0
0x073F	0	False	0	0	0
0x0740	0	False	0	0	0
0x0741	0	False	0	0	0
0x0742	0	False	0	0	0
0x0743	0	False	0	0	0
0x0744	0	False	0	0	0
0x0745	0	False	0	0	0
0x0746	0	False	0	0	0
0x0747	0	False	0	0	0
0x0748	0	False	0	0	0
0x0749	0	False	0	0	0
0x074A	0	False	0	0	0
0x074B	0	False	0	0	0
0x074C	0	False	0	0	0
0x074D	0	False	0	0	0
0x074E	0	False	0	0	0
0x074F	0	False	0	0	0
0x0750	0	False	0	0	0
0x0751	0	False	0	0	0
0x0752	0	False	0	0	0
0x0753	0	False	0	0	0
0x0754	0	False	0	0	0
